GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyParser,com.example.service.hh,HhGetterFromBio,17,49,1,15,3,10,2,11,1,4
MyParser,com.example.service.hh,HhFetcher,162,0,12,0,38,0,8,0,2,0
MyParser,com.example.service.hh,HhApi,0,124,0,2,0,23,0,4,0,3
MyParser,com.example.service.hh,HhToVacancy,117,0,4,0,36,0,5,0,3,0
MyParser,com.example.model,Vacancy,446,113,88,14,9,7,70,12,23,8
MyParser,com.example.model,Vacancy.VacancyBuilder,72,46,0,0,0,1,10,5,10,5
MyParser,com.example,App,8,0,0,0,3,0,2,0,2,0
MyParser,com.example.service.general,VacancyLogger,118,0,0,0,31,0,16,0,16,0
MyParser,com.example.service.general,VacancyService,125,0,24,0,22,0,15,0,3,0
MyParser,com.example.service.general,VacancySortService,0,76,0,18,0,18,0,15,0,6
MyParser,com.example.service.general,VacancyFilter,0,21,0,4,0,4,0,5,0,3
MyParser,com.example.controller,VacancyController,85,0,10,0,19,0,7,0,2,0
MyParser,com.example.controller,HomeController,15,0,0,0,4,0,2,0,2,0
MyParser,com.example.config,HhSearchProperties,193,0,30,0,6,0,25,0,10,0
MyParser,com.example.config,AppConfig,5,0,0,0,2,0,2,0,2,0
MyParser,com.example.config,Constants,3,36,0,0,1,11,1,1,1,1
